Description,Price,Rating,Reviews Count,URL,Image URL
"Apple iPhone 7 Plus, 32GB, Black - For T-Mobile (Renewed)",$253.30,4.2 out of 5 stars,"9,724",https://www.amazon.com/Apple-iPhone-Plus-T-Mobile-32GB/dp/B072QC6F8N/ref=sr_1_21?dchild=1&keywords=iphone+12&qid=1609112343&sr=8-21,https://m.media-amazon.com/images/I/617lZZFKVZL._AC_UY218_.jpg
"Apple iPhone 8 Plus, 256GB, Silver - Fully Unlocked (Renewed)",$369.99,4.4 out of 5 stars,"10,235",https://www.amazon.com/Apple-iPhone-Fully-Unlocked-256GB/dp/B07756XHL4/ref=sr_1_22?dchild=1&keywords=iphone+12&qid=1609112343&sr=8-22,https://m.media-amazon.com/images/I/71dB7uhUKoL._AC_UY218_.jpg
Apple iPhone 7 32GB Unlocked GSM Quad-Core Phone w/ 12MP Camera - Gold (Renewed),$198.00,4.1 out of 5 stars,"2,955",https://www.amazon.com/Apple-iPhone-a1778-Unlocked-Renewed/dp/B079HNVSTG/ref=sr_1_23?dchild=1&keywords=iphone+12&qid=1609112343&sr=8-23,https://m.media-amazon.com/images/I/41nkSfBCiiL._AC_UY218_.jpg
"Apple iPhone XS Max, 256GB, Gold - For Verizon (Renewed)",$599.97,4.4 out of 5 stars,11,https://www.amazon.com/Apple-iPhone-Max-256GB-Gold/dp/B07WHKDGL4/ref=sr_1_24?dchild=1&keywords=iphone+12&qid=1609112343&sr=8-24,https://m.media-amazon.com/images/I/51zJTtsQEnL._AC_UY218_.jpg
"Apple iPhone Xs Max, 512GB, Silver - For AT&T (Renewed)",$659.97,4.4 out of 5 stars,4,https://www.amazon.com/Apple-iPhone-Max-512GB-Silver/dp/B07RFNW39Y/ref=sr_1_25?dchild=1&keywords=iphone+12&qid=1609112343&sr=8-25,https://m.media-amazon.com/images/I/61eLl+EnYWL._AC_UY218_.jpg
"Apple iPhone 11 Pro Max [64GB, Midnight Green] + Carrier Subscription [Cricket Wireless]",$999.00,3.4 out of 5 stars,41,https://www.amazon.com/Apple-Midnight-Carrier-Subscription-Wireless/dp/B0844JKGSK/ref=sr_1_27?dchild=1&keywords=iphone+12&qid=1609112343&sr=8-27,https://m.media-amazon.com/images/I/81j2j9x-KWL._AC_UY218_.jpg
"Apple iPhone 11 [64GB, Black] + Carrier Subscription [Cricket Wireless]",$599.00,4.5 out of 5 stars,83,https://www.amazon.com/Apple-Carrier-Subscription-Cricket-Wireless/dp/B0844NJJF3/ref=sr_1_28?dchild=1&keywords=iphone+12&qid=1609112343&sr=8-28,https://m.media-amazon.com/images/I/71iO2R+CLjL._AC_UY218_.jpg
"Apple iPhone 11 Pro [64GB, Space Gray] + Carrier Subscription [Cricket Wireless]",$899.00,4.2 out of 5 stars,24,https://www.amazon.com/Apple-Carrier-Subscription-Cricket-Wireless/dp/B0844DSHY4/ref=sr_1_29?dchild=1&keywords=iphone+12&qid=1609112343&sr=8-29,https://m.media-amazon.com/images/I/81HSzsIkJdL._AC_UY218_.jpg
Google Pixel 4a - New Unlocked Android Smartphone - 128 GB of Storage - Up to 24 Hour Battery - Just Black,$349.00,4.6 out of 5 stars,"2,993",https://www.amazon.com/Google-Pixel-4a-Unlocked-Smartphone/dp/B08CFSZLQ4/ref=sr_1_31?dchild=1&keywords=iphone+12&qid=1609112343&sr=8-31,https://m.media-amazon.com/images/I/7199N-Uz2AL._AC_UY218_.jpg
"Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone, US Version, 128GB of Storage, Mobile Gaming Smartphone, Long-Lasting Battery, Mystic Bronze","$1,099.99",4.6 out of 5 stars,"2,092",https://www.amazon.com/Samsung-Electronics-Unlocked-Smartphone-Long-Lasting/dp/B08BX7N9SK/ref=sr_1_32?dchild=1&keywords=iphone+12&qid=1609112343&sr=8-32,https://m.media-amazon.com/images/I/813y2+dPUOL._AC_UY218_.jpg
Ferilinso [4 Pack] 2 Pack Screen Protector for iPhone 12 with 2 Pack Camera Lens Screen Protector [Tempered-Glass] [Military Protective] [HD Clear] [Case Friendly] [Anti-Fingerprint] [Anti-Scratch],$5.99,4.2 out of 5 stars,479,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A064519028LARZYHEYJ63&url=%2FFerilinso-Tempered-Glass-Anti-Fingerprint-Anti-Scratch-Installation%2Fdp%2FB088DGRMB2%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3Diphone%2B12%26qid%3D1609112345%26sr%3D8-33-spons%26psc%3D1&qualifier=1609112345&id=830514602404532&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/71AXW-Cnr1L._AC_UY218_.jpg
"QHOHQ 3 Pack Screen Protector for iPhone 12 [6.1 Inch] with 2 Packs Tempered Glass Camera Lens Protector,Tempered Glass Film, [9H Hardness] - HD - [2.5D Edge] - [Bubble Free] - [Scratch Resistant]",$13.99,4.3 out of 5 stars,901,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A02483502OPWH64M4HGY9&url=%2FQHOHQ-Protector-iPhone-12-Tempered%2Fdp%2FB088DX83FS%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Diphone%2B12%26qid%3D1609112345%26sr%3D8-34-spons%26psc%3D1&qualifier=1609112345&id=830514602404532&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/71JOSypa+iL._AC_UY218_.jpg
"Apple iPhone Xs Max, Boost Mobile, 64GB - Gold - (Renewed)",$549.97,3.6 out of 5 stars,8,https://www.amazon.com/Apple-iPhone-Boost-Mobile-64GB/dp/B07RV2W6PY/ref=sr_1_35?dchild=1&keywords=iphone+12&qid=1609112345&sr=8-35,https://m.media-amazon.com/images/I/7164BvDnmyL._AC_UY218_.jpg
"BLU G9 Pro -6.3” Full HD Smartphone with Triple Main Camera, 128GB+4GB RAM -Nightfall",$149.99,4.2 out of 5 stars,"1,727",https://www.amazon.com/BLU-Smartphone-Triple-Camera-Nightfall/dp/B07VB5LDD1/ref=sr_1_36?dchild=1&keywords=iphone+12&qid=1609112345&sr=8-36,https://m.media-amazon.com/images/I/81cH+NRSZGL._AC_UY218_.jpg
Super Small Mini Smartphone 3G Dual SIM Mobile Phone 1GB RAM 8GB ROM 5.0MP Quad Core Dual Standby Unlocked Children Phone Pocket Cellphone (Black),$89.99,3.5 out of 5 stars,42,https://www.amazon.com/Smartphone-Mobile-Standby-Unlocked-Pocket/dp/B07KBV982N/ref=sr_1_37?dchild=1&keywords=iphone+12&qid=1609112345&sr=8-37,https://m.media-amazon.com/images/I/61s0IaMcKtL._AC_UY218_.jpg
"Apple iPhone 8 4.7"", 256 GB, Fully Unlocked, Space Gray (Renewed)",$299.03,4.1 out of 5 stars,487,https://www.amazon.com/Apple-iPhone-Fully-Unlocked-256GB/dp/B07759W12Z/ref=sr_1_38?dchild=1&keywords=iphone+12&qid=1609112345&sr=8-38,https://m.media-amazon.com/images/I/719fExdsACL._AC_UY218_.jpg
Tracfone Apple iPhone 7 4G LTE Prepaid Smartphone - 32GB - Black - Carrier Locked,$198.99,4.7 out of 5 stars,55,https://www.amazon.com/Tracfone-Apple-iPhone-Prepaid-Smartphone/dp/B08CL4CCG2/ref=sr_1_39?dchild=1&keywords=iphone+12&qid=1609112345&sr=8-39,https://m.media-amazon.com/images/I/31+rHqWgOrL._AC_UY218_.jpg
Apple iPhone 7 Plus 32GB (GSM Unlocked) 5.5-inch 12MP iOS Smartphone - Black (Renewed),$279.99,3.8 out of 5 stars,10,https://www.amazon.com/Apple-iPhone-Unlocked-5-5-inch-Smartphone/dp/B01NC3GG6Y/ref=sr_1_40?dchild=1&keywords=iphone+12&qid=1609112345&sr=8-40,https://m.media-amazon.com/images/I/61cA7fPle6L._AC_UY218_.jpg
"Apple iPhone 8 4.7in, 256 GB, Fully Unlocked, Red (Renewed)",$303.75,4.2 out of 5 stars,33,https://www.amazon.com/Apple-iPhone-4-7in-Unlocked-Renewed/dp/B07K1JKPJR/ref=sr_1_41?dchild=1&keywords=iphone+12&qid=1609112345&sr=8-41,https://m.media-amazon.com/images/I/61cdy20yGFL._AC_UY218_.jpg
"Apple iPhone 11 Pro Max (64GB, Midnight Green) - for T-Mobile (Renewed)",$849.97,5.0 out of 5 stars,2,https://www.amazon.com/Apple-iPhone-64GB-Midnight-Green/dp/B07ZZLJ8Z7/ref=sr_1_42?dchild=1&keywords=iphone+12&qid=1609112345&sr=8-42,https://m.media-amazon.com/images/I/51LnnMhuDRL._AC_UY218_.jpg
"Soyes 7S+ Unlocked 2G Card Phone Quad Band GSM Unlocked Mini Card Phone Mini Mobile Phones 1.5"" IPS Color Big Display Torch Camera MP3 HiFi Sound Long Standby Bluebooth GSM Kids Cell Phones (Black)",$25.99,3.2 out of 5 stars,31,https://www.amazon.com/Unlocked-Phone-Mobile-Display-Standby/dp/B089B1PZTG/ref=sr_1_43?dchild=1&keywords=iphone+12&qid=1609112345&sr=8-43,https://m.media-amazon.com/images/I/61PkAyWWHZL._AC_UY218_.jpg
"Apple iPhone 8 256GB GSM Unlocked Phone, Gold (Renewed)",$279.00,4.2 out of 5 stars,446,https://www.amazon.com/Apple-iPhone-Fully-Unlocked-256GB/dp/B079RWXLBL/ref=sr_1_44?dchild=1&keywords=iphone+12&qid=1609112345&sr=8-44,https://m.media-amazon.com/images/I/51hD+WlSEgL._AC_UY218_.jpg
Apple iPhone 7 a1660 32GB Silver Verizon Unlocked (Renewed),$186.50,4.1 out of 5 stars,357,https://www.amazon.com/Apple-iPhone-Verizon-Unlocked-Renewed/dp/B01N5SCQ2A/ref=sr_1_45?dchild=1&keywords=iphone+12&qid=1609112345&sr=8-45,https://m.media-amazon.com/images/I/81+2yUpsSvL._AC_UY218_.jpg
"Apple iPhone 8 Plus [128GB, Gold] + Carrier Subscription [Cricket Wireless]",$499.00,3.5 out of 5 stars,7,https://www.amazon.com/Apple-Carrier-Subscription-Cricket-Wireless/dp/B084N4X6CD/ref=sr_1_47?dchild=1&keywords=iphone+12&qid=1609112345&sr=8-47,https://m.media-amazon.com/images/I/61wf6hrlecL._AC_UY218_.jpg
Apple iPhone 7 a1778 128GB Smartphone at&T Unlocked (Renewed),$239.97,4.2 out of 5 stars,16,https://www.amazon.com/Apple-iPhone-Smartphone-Unlocked-Refurbished/dp/B0767YL5RF/ref=sr_1_48?dchild=1&keywords=iphone+12&qid=1609112345&sr=8-48,https://m.media-amazon.com/images/I/81+2yUpsSvL._AC_UY218_.jpg
"Apple iPhone 7 Plus, 128GB, Silver - For AT&T / T-Mobile (Renewed)",$283.00,4.2 out of 5 stars,53,https://www.amazon.com/Apple-iPhone-Plus-AT-128GB/dp/B072N169C6/ref=sr_1_50?dchild=1&keywords=iphone+12&qid=1609112345&sr=8-50,https://m.media-amazon.com/images/I/61C5dT6qy0L._AC_UY218_.jpg
"Car Mount for Magsafe, for Apple Charger Holder Compatible with Magsafe for iPhone 12/12 Mini/12 Pro/12 Pro Max",$13.99,,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A0858310R4MQAVWN6O60&url=%2FMagsafe-Charger-Holder-Compatible-iPhone%2Fdp%2FB08PVD947D%2Fref%3Dsr_1_51_sspa%3Fdchild%3D1%26keywords%3Diphone%2B12%26qid%3D1609112345%26sr%3D8-51-spons%26psc%3D1&qualifier=1609112345&id=830514602404532&widgetName=sp_btf,https://m.media-amazon.com/images/I/61Pm5BFz24L._AC_UY218_.jpg
"Screen Protector for iPhone 12/iPhone 12 Pro,UIYTRAESTING [3-Pack] [Easy Installation Frame] [Anti-Scratch][Bubble Free] Tempered Glass Screen Protector for iPhone 12/12 Pro 2020, 6.1-Inch",$11.99,4.5 out of 5 stars,"4,449",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A076811825TIR65DGMOMQ&url=%2FProtector-UIYTRAESTING-Installation-Anti-Scratch-Tempered%2Fdp%2FB08LGFNQYB%2Fref%3Dsr_1_52_sspa%3Fdchild%3D1%26keywords%3Diphone%2B12%26qid%3D1609112345%26sr%3D8-52-spons%26psc%3D1&qualifier=1609112345&id=830514602404532&widgetName=sp_btf,https://m.media-amazon.com/images/I/61KEjg2mVrL._AC_UY218_.jpg
"6FT iPhone Charger Lightning Cables, (5 Pack ) Charging Cable USB Syncing Data & High-Speed Cord Cable Compatible iPhone 12 11 Pro iPad Air & More",$14.99,4.4 out of 5 stars,"2,386",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A09489161Q1UWL9SMGZSJ&url=%2FCharger-Lightning-Charging-High-Speed-Compatible%2Fdp%2FB08KQ2STMG%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3Diphone%2B12%26qid%3D1609112347%26sr%3D8-49-spons%26psc%3D1&qualifier=1609112347&id=1034112758723672&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/71ArnxxMbQL._AC_UY218_.jpg
"Lightning Cable,MFi Certified iPhone Charger 5 Pack6ft,to USB Cable Compatible iPhone12 Pro 12 Mini/ 11 Pro/11/XS MAX/XR/8/7/6s/6/plus,iPad Pro/Air/Mini,iPod Touch Original Certified",$10.99,4.7 out of 5 stars,49,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A04643103UAGXFEON3VT&url=%2FLightning-Certified-Compatible-iPhone12-Original%2Fdp%2FB08L1KMRHR%2Fref%3Dsr_1_50_sspa%3Fdchild%3D1%26keywords%3Diphone%2B12%26qid%3D1609112347%26sr%3D8-50-spons%26psc%3D1&qualifier=1609112347&id=1034112758723672&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/51Fan8JDafL._AC_UY218_.jpg
"Apple iPhone XR [128GB, Blue] + Carrier Subscription [Cricket Wireless]",$549.00,4.1 out of 5 stars,42,https://www.amazon.com/Apple-iPhone-XR-128GB-Blue/dp/B07VPRGXXV/ref=sr_1_51?dchild=1&keywords=iphone+12&qid=1609112347&sr=8-51,https://m.media-amazon.com/images/I/51n24DedexL._AC_UY218_.jpg
